sid_x,"S1.W1
Monday (03-10-2022)
09:00 - 10:00
Lecture
U020
","S1.W1
Wednesday (05-10-2022)
10:00 - 11:00
Lecture
SMB014
","S1.W2
Wednesday (12-10-2022)
10:00 - 11:00
Lecture
SMB014
","S1.W2
Wednesday (12-10-2022)
12:00 - 13:00
Tutorial

","S1.W2
Thursday (13-10-2022)
14:00 - 15:00
Lecture
CC011
","S1.W3
Wednesday (19-10-2022)
10:00 - 11:00
Lecture
SMB014
","S1.W3
Wednesday (19-10-2022)
12:00 - 13:00
Tutorial

","S1.W3
Thursday (20-10-2022)
14:00 - 15:00
Lecture
CC011
","S1.W4
Wednesday (26-10-2022)
10:00 - 11:00
Lecture
SMB014
","S1.W4
Wednesday (26-10-2022)
12:00 - 13:00
Tutorial

","S1.W4
Thursday (27-10-2022)
14:00 - 15:00
Lecture
CC011
","S1.W5
Wednesday (02-11-2022)
10:00 - 11:00
Lecture
SMB014
","S1.W5
Wednesday (02-11-2022)
12:00 - 13:00
Tutorial

","S1.W5
Thursday (03-11-2022)
14:00 - 15:00
Lecture
CC011
"
164,X,GPS,GPS,,GPS,GPS,,GPS,GPS,,X,GPS,,GPS
165,GPS,X,GPS,,GPS,GPS,,X,GPS,,GPS,GPS,,GPS
166,GPS,GPS,X,,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS
167,GPS,GPS,X,,GPS,GPS,,GPS,X,,GPS,GPS,,GPS
168,GPS,X,X,,GPS,X,,GPS,X,,GPS,X,,GPS
169,X,X,GPS,,X,X,,X,X,,X,X,,X
170,GPS,GPS,GPS,,X,X,,X,X,,X,X,,X
171,,,,,,,,,,,,,,
173,X,X,X,,X,X,,X,X,,X,X,,X
174,GPS,GPS,X,,GPS,GPS,,GPS,GPS,,GPS,X,,X
175,GPS,X,X,,X,X,,X,X,,X,,,
176,GPS,X,GPS,,X,GPS,,GPS,GPS,,GPS,GPS,,X
177,GPS,GPS,GPS,,GPS,GPS,,GPS,GPS,,X,GPS,,GPS
178,GPS,GPS,GPS,,GPS,X,,GPS,GPS,,GPS,GPS,,GPS
179,,,,,,,,,,,,,,
180,GPS,GPS,X,,GPS,GPS,,GPS,X,,GPS,GPS,,GPS
181,X,GPS,GPS,,GPS,X,,GPS,X,,GPS,X,,GPS
182,GPS,GPS,X,,GPS,X,,GPS,X,,GPS,X,,GPS
183,GPS,GPS,GPS,,GPS,X,,GPS,X,,GPS,GPS,,GPS
184,,,,,,,,,,,,,,
185,GPS,GPS,X,,GPS,GPS,,GPS,GPS,,GPS,X,,GPS
186,GPS,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS,X,,GPS
187,GPS,GPS,X,,GPS,GPS,,X,Ex,,GPS,GPS,,GPS
188,GPS,X,GPS,,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS
189,GPS,GPS,GPS,,GPS,X,,Ex,Ex,,GPS,GPS,,GPS
190,X,X,X,,X,X,,X,,,,,,
191,,,,,,,,,,,,,,
193,X,X,GPS,,GPS,X,,GPS,GPS,,GPS,GPS,,GPS
194,,,,,,,,,,,,,,
195,,,,,,,,,,,,,,
197,GPS,GPS,GPS,,GPS,X,,GPS,GPS,,GPS,GPS,,GPS
198,X,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS
199,GPS,GPS,GPS,,GPS,X,,GPS,X,,GPS,GPS,,X
200,X,X,GPS,,GPS,X,,X,X,,X,X,,GPS
201,,,,,,,,,,,,,,
202,GPS,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS
203,GPS,X,X,,GPS,X,,GPS,GPS,,GPS,GPS,,GPS
204,GPS,GPS,GPS,,X,GPS,,X,GPS,,X,GPS,,X
205,GPS,GPS,GPS,,GPS,X,,GPS,X,,GPS,X,,GPS
206,GPS,GPS,X,,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS
207,,,,,,,,,,,,,,
208,GPS,GPS,GPS,,GPS,X,,GPS,X,,GPS,GPS,,GPS
209,X,GPS,X,,GPS,GPS,,GPS,GPS,,X,GPS,,GPS
210,X,X,GPS,,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS
211,GPS,GPS,GPS,,GPS,X,,GPS,GPS,,GPS,GPS,,GPS
212,X,X,X,,GPS,X,,GPS,GPS,,GPS,X,,X
213,X,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS
214,,,,,,,,,,,,,,
215,GPS,X,GPS,,GPS,GPS,,GPS,GPS,,X,GPS,,GPS
216,GPS,GPS,X,,GPS,X,,X,X,,X,GPS,,GPS
217,GPS,GPS,GPS,,X,GPS,,GPS,GPS,,GPS,GPS,,GPS
218,,,,,,,,,,,,,,
219,,,,,,,,,,,,,,
220,GPS,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS
221,GPS,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS
222,GPS,GPS,X,,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS
223,GPS,GPS,X,,X,GPS,,GPS,X,,GPS,GPS,,GPS
